  ID        Date      Time   RA  Dec  Comment
5111  2021-09-09  10:43:19  141   83  FER
5371  2023-03-04  14:35:48  112    1  FER
5386  2023-03-20  21:12:26   28   69  FER 
5106  2021-08-22  09:18:26  305    5  FermiLAT
5463  2023-09-08  16:41:21    0    0  NoLoc
  -1  2024-02-22  08:51:30    0    0  NoLoc
5409  2023-05-10  12:06:31  318   34  Swift
5412  2023-05-12  06:27:47  295   38  FermiLAT
5128  2021-10-19  05:59:34  110  -39  FER
5499  2023-11-24  08:38:16  237   11  FER
5423  2023-06-04  05:53:47    0    0  NoLoc
5492  2023-11-06  21:19:01    0    0  NoLoc
5546  2024-02-15  19:51:48  289  -25  FER
5528  2024-01-18  01:49:21   19   30  FER
5532  2024-01-23  23:12:36    0    0  NoLoc
  -1  2023-08-26  19:32:44    0    0  NoLoc
  -1  2022-11-27  08:27:10    0    0  NoLoc
5127  2021-10-18  22:29:34   20   -4  FermiLAT
  -1  2022-09-26  10:38:21    0    0  NoLoc
5579  2024-04-11  01:44:59  243   41  FER
5387  2023-03-28  14:54:48  291   80  SwiftXRT
5534  2024-01-25  09:34:59    0    0  NoLoc
5328  2022-12-06  12:22:48  255   45  FER
  -1  2024-01-23  11:05:48    0    0  NoLoc
5570  2024-03-29  21:43:07  260   -5  FER
5465  2023-09-11  04:25:51  352  -55  FER
5460  2023-08-28  16:29:52    0    0  NoLoc
5522  2024-01-01  12:57:23    5   30  FER
  -1  2024-03-31  23:55:19    0    0  NoLoc
5410  2023-05-10  21:21:50    5   30  FER 
5313  2022-10-29  01:05:27    0    0  NoLoc
5526  2024-01-12  17:37:25  271   24  Swift
5379  2023-03-07  15:44:11   61  -75  SwiftXRT
  -1  2022-11-12  06:18:04    0    0  NoLoc
  -1  2024-01-28  15:13:45    0    0  NoLoc
5459  2023-08-27  18:18:13  319  -24  FER
  -1  2022-10-20  05:23:59    0    0  NoLoc
5417  2023-05-23  15:23:54    0    0  NoLoc
5523  2024-01-06  00:36:36    8   54  FER 
  -1  2024-02-13  20:11:48    0    0  NoLoc
5551  2024-02-25  05:19:36    0    0  NoLoc
  -1  2023-12-22  07:26:04    0    0  NoLoc
5504  2023-11-29  19:10:19   12  -82  MAXI
5374  2023-03-05  13:40:30   40   -7  FER
5438  2023-07-09  16:56:15   90   -1  FER
5290  2022-10-09  13:20:52  288   21  IPN
5284  2022-09-27  05:36:25   97  -27  FER
5320  2022-11-19  15:02:55  145  -14  FermiLAT
5486  2023-10-30  19:58:20  244   56  FER
  -1  2024-04-05  15:07:38    0    0  NoLoc
5271  2022-08-29  14:37:50   47   55  FER  
  -1  2024-02-26  19:33:09    0    0  NoLoc
5466  2023-09-11  07:53:25  152  -26  FermiLAT
5554  2024-02-29  14:07:33    0    0  NoLoc
  -1  2023-06-14  10:10:32    0    0  NoLoc
5416  2023-05-22  03:34:45    0    0  NoLoc
5433  2023-06-26  14:30:29  146    0  FER
5306  2022-10-22  22:56:11  170   18  IPN
5509  2023-12-08  02:29:45    0    0  NoLoc
5278  2022-09-15  05:13:42  289  -23  FER
5577  2024-04-08  00:10:03    0    0  NoLoc
  -1  2023-02-04  21:47:02    0    0  NoLoc
  -1  2021-08-07  10:12:14    0    0  NoLoc
  -1  2023-07-09  17:38:26    0    0  NoLoc
5500  2023-11-25  17:47:20    0    0  NoLoc
5480  2023-10-18  12:31:08    3   51  FER
5547  2024-02-16  10:57:02   34  -76  FER
  -1  2022-08-26  10:21:20    0    0  NoLoc
5501  2023-11-27  05:14:20    0    0  NoLoc
5516  2023-12-15  09:47:26   10   58  Swift
5496  2023-11-18  17:16:33    5  -48  Swift
5495  2023-11-17  03:03:19  332   14  Swift
5338  2023-01-02  00:22:13  273  -35  FER  
  -1  2023-02-07  04:40:47    0    0  NoLoc
  -1  2022-11-22  02:43:26    0    0  NoLoc
5314  2022-11-07  01:22:58  155  -43  FER  
  -1  2024-04-02  05:30:53    0    0  NoLoc
