         start_time              end_time        sec_from_start     exposure       rate_0       rate_1       rate_2       rate_3     rate_sum
                ---                   ---                   ---          ---    70-110keV   110-370keV   370-630keV   630-890keV    70-370keV
              (UTC)                 (UTC)                   (s)          (s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)
2021-08-22 09:16:52   2021-08-22 09:16:56                     0      4.00000      217.000      591.500      447.500      67.0000      808.500
2021-08-22 09:16:56   2021-08-22 09:17:00                     4      4.00000      162.000      375.750      342.250      20.0000      537.750
2021-08-22 09:17:00   2021-08-22 09:17:04                     8      4.00000      123.000      276.500      257.500      9.00000      399.500
2021-08-22 09:17:04   2021-08-22 09:17:08                    12      4.00000      120.500      233.500      258.500      6.25000      354.000
2021-08-22 09:17:08   2021-08-22 09:17:12                    16      4.00000      115.750      269.750      299.000      15.5000      385.500
2021-08-22 09:17:12   2021-08-22 09:17:16                    20      4.00000      116.500      255.500      318.500      11.2500      372.000
2021-08-22 09:17:16   2021-08-22 09:17:20                    24      4.00000      111.250      202.750      279.750      6.50000      314.000
2021-08-22 09:17:20   2021-08-22 09:17:24                    28      4.00000      95.5000      156.250      207.750      3.00000      251.750
2021-08-22 09:17:24   2021-08-22 09:17:28                    32      4.00000      97.5000      115.750      160.750      1.75000      213.250
2021-08-22 09:17:28   2021-08-22 09:17:32                    36      4.00000      91.5000      105.500      151.000      1.50000      197.000
2021-08-22 09:17:32   2021-08-22 09:17:36                    40      4.00000      100.000      97.2500      149.250      1.00000      197.250
2021-08-22 09:17:36   2021-08-22 09:17:40                    44      4.00000      117.500      98.0000      150.250      2.50000      215.500
2021-08-22 09:17:40   2021-08-22 09:17:44                    48      4.00000      153.500      96.2500      156.250      3.00000      249.750
2021-08-22 09:17:44   2021-08-22 09:17:48                    52      4.00000      151.500      98.5000      147.250      2.50000      250.000
2021-08-22 09:17:48   2021-08-22 09:17:52                    56      4.00000      153.250      101.500      135.250     0.500000      254.750
2021-08-22 09:17:52   2021-08-22 09:17:56                    60      4.00000      159.250      94.2500      126.750      2.50000      253.500
2021-08-22 09:17:56   2021-08-22 09:18:00                    64      4.00000      140.500      103.000      124.500      1.25000      243.500
2021-08-22 09:18:00   2021-08-22 09:18:04                    68      4.00000      149.000      91.5000      122.250     0.750000      240.500
2021-08-22 09:18:04   2021-08-22 09:18:08                    72      4.00000      176.500      95.0000      129.500     0.750000      271.500
2021-08-22 09:18:08   2021-08-22 09:18:12                    76      4.00000      207.750      98.2500      118.000      2.75000      306.000
2021-08-22 09:18:12   2021-08-22 09:18:16                    80      4.00000      216.000      114.750      126.750      1.75000      330.750
2021-08-22 09:18:16   2021-08-22 09:18:20                    84      4.00000      285.000      283.500      128.250      1.25000      568.500
2021-08-22 09:18:20   2021-08-22 09:18:24                    88      4.00000      250.750      241.000      120.250      1.75000      491.750
2021-08-22 09:18:24   2021-08-22 09:18:28                    92      4.00000      353.000      379.250      111.250     0.750000      732.250
2021-08-22 09:18:28   2021-08-22 09:18:32                    96      4.00000      195.750      127.500      98.0000     0.250000      323.250
2021-08-22 09:18:32   2021-08-22 09:18:36                   100      4.00000      222.250      135.750      115.250     0.500000      358.000
2021-08-22 09:18:36   2021-08-22 09:18:40                   104      4.00000      221.750      142.000      108.250     0.250000      363.750
2021-08-22 09:18:40   2021-08-22 09:18:44                   108      4.00000      232.750      133.750      103.750      1.00000      366.500
2021-08-22 09:18:44   2021-08-22 09:18:48                   112      4.00000      233.500      136.500      102.250      0.00000      370.000
2021-08-22 09:18:48   2021-08-22 09:18:52                   116      4.00000      196.500      125.000      96.0000      1.00000      321.500
2021-08-22 09:18:52   2021-08-22 09:18:56                   120      4.00000      148.500      122.250      97.0000     0.500000      270.750
2021-08-22 09:18:56   2021-08-22 09:19:00                   124      4.00000      134.750      107.250      85.0000     0.500000      242.000
2021-08-22 09:19:00   2021-08-22 09:19:04                   128      4.00000      148.750      111.750      92.2500      1.25000      260.500
2021-08-22 09:19:04   2021-08-22 09:19:08                   132      4.00000      175.000      128.500      83.7500      0.00000      303.500
2021-08-22 09:19:08   2021-08-22 09:19:12                   136      4.00000      166.500      113.250      92.7500      1.25000      279.750
2021-08-22 09:19:12   2021-08-22 09:19:16                   140      4.00000      145.250      106.250      86.7500     0.500000      251.500
2021-08-22 09:19:16   2021-08-22 09:19:20                   144      4.00000      126.000      101.500      75.7500     0.250000      227.500
2021-08-22 09:19:20   2021-08-22 09:19:24                   148      4.00000      96.7500      93.7500      89.7500      0.00000      190.500
2021-08-22 09:19:24   2021-08-22 09:19:28                   152      4.00000      93.5000      95.7500      81.5000      0.00000      189.250
2021-08-22 09:19:28   2021-08-22 09:19:32                   156      4.00000      112.000      95.0000      75.2500      1.25000      207.000
2021-08-22 09:19:32   2021-08-22 09:19:36                   160      4.00000      127.000      90.2500      76.0000      0.00000      217.250
2021-08-22 09:19:36   2021-08-22 09:19:40                   164      4.00000      105.250      73.5000      85.0000      0.00000      178.750
2021-08-22 09:19:40   2021-08-22 09:19:44                   168      4.00000      101.750      77.2500      79.5000     0.250000      179.000
2021-08-22 09:19:44   2021-08-22 09:19:48                   172      4.00000      93.2500      70.7500      77.2500      0.00000      164.000
