         start_time              end_time        sec_from_start     exposure       rate_0       rate_1       rate_2     rate_sum
                ---                   ---                   ---          ---    70-110keV   110-370keV   370-630keV    70-630keV
              (UTC)                 (UTC)                   (s)          (s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)
2021-10-18 22:25:52   2021-10-18 22:25:56                     0      4.00000      63.7500      57.5000      28.2500      149.500
2021-10-18 22:25:56   2021-10-18 22:26:00                     4      4.00000      52.0000      61.2500      32.2500      145.500
2021-10-18 22:26:00   2021-10-18 22:26:04                     8      4.00000      60.7500      60.2500      30.7500      151.750
2021-10-18 22:26:04   2021-10-18 22:26:08                    12      4.00000      63.5000      53.0000      34.5000      151.000
2021-10-18 22:26:08   2021-10-18 22:26:12                    16      4.00000      57.7500      69.2500      33.0000      160.000
2021-10-18 22:26:12   2021-10-18 22:26:16                    20      4.00000      57.2500      62.2500      31.7500      151.250
2021-10-18 22:26:16   2021-10-18 22:26:20                    24      4.00000      65.0000      68.0000      29.0000      162.000
2021-10-18 22:26:20   2021-10-18 22:26:24                    28      4.00000      63.7500      57.7500      31.2500      152.750
2021-10-18 22:26:24   2021-10-18 22:26:28                    32      4.00000      62.0000      59.7500      26.0000      147.750
2021-10-18 22:26:28   2021-10-18 22:26:32                    36      4.00000      58.2500      63.5000      24.5000      146.250
2021-10-18 22:26:32   2021-10-18 22:26:36                    40      4.00000      60.5000      49.2500      27.7500      137.500
2021-10-18 22:26:36   2021-10-18 22:26:40                    44      4.00000      61.5000      58.5000      26.0000      146.000
2021-10-18 22:26:40   2021-10-18 22:26:44                    48      4.00000      65.7500      61.5000      31.2500      158.500
2021-10-18 22:26:44   2021-10-18 22:26:48                    52      4.00000      64.0000      59.5000      22.2500      145.750
2021-10-18 22:26:48   2021-10-18 22:26:52                    56      4.00000      60.0000      57.5000      27.2500      144.750
2021-10-18 22:26:52   2021-10-18 22:26:56                    60      4.00000      55.7500      53.7500      24.0000      133.500
2021-10-18 22:26:56   2021-10-18 22:27:00                    64      4.00000      67.2500      57.5000      26.5000      151.250
2021-10-18 22:27:00   2021-10-18 22:27:04                    68      4.00000      56.0000      46.0000      24.0000      126.000
2021-10-18 22:27:04   2021-10-18 22:27:08                    72      4.00000      59.2500      50.7500      20.7500      130.750
2021-10-18 22:27:08   2021-10-18 22:27:12                    76      4.00000      68.0000      54.7500      23.7500      146.500
2021-10-18 22:27:12   2021-10-18 22:27:16                    80      4.00000      64.5000      51.7500      26.2500      142.500
2021-10-18 22:27:16   2021-10-18 22:27:20                    84      4.00000      65.2500      55.2500      24.2500      144.750
2021-10-18 22:27:20   2021-10-18 22:27:24                    88      4.00000      53.7500      61.5000      25.7500      141.000
2021-10-18 22:27:24   2021-10-18 22:27:28                    92      4.00000      64.0000      55.7500      24.0000      143.750
2021-10-18 22:27:28   2021-10-18 22:27:32                    96      4.00000      62.7500      60.2500      24.0000      147.000
2021-10-18 22:27:32   2021-10-18 22:27:36                   100      4.00000      63.2500      57.0000      16.7500      137.000
2021-10-18 22:27:36   2021-10-18 22:27:40                   104      4.00000      62.0000      49.7500      20.7500      132.500
2021-10-18 22:27:40   2021-10-18 22:27:44                   108      4.00000      57.2500      55.7500      19.7500      132.750
2021-10-18 22:27:44   2021-10-18 22:27:48                   112      4.00000      62.5000      52.0000      26.0000      140.500
2021-10-18 22:27:48   2021-10-18 22:27:52                   116      4.00000      70.0000      59.5000      25.0000      154.500
2021-10-18 22:27:52   2021-10-18 22:27:56                   120      4.00000      64.2500      57.0000      19.7500      141.000
2021-10-18 22:27:56   2021-10-18 22:28:00                   124      4.00000      62.0000      56.0000      25.7500      143.750
2021-10-18 22:28:00   2021-10-18 22:28:04                   128      4.00000      64.2500      58.7500      21.2500      144.250
2021-10-18 22:28:04   2021-10-18 22:28:08                   132      4.00000      64.2500      54.0000      21.2500      139.500
2021-10-18 22:28:08   2021-10-18 22:28:12                   136      4.00000      70.0000      62.2500      18.2500      150.500
2021-10-18 22:28:12   2021-10-18 22:28:16                   140      4.00000      156.250      149.500      21.0000      326.750
2021-10-18 22:28:16   2021-10-18 22:28:20                   144      4.00000      158.000      191.000      22.0000      371.000
2021-10-18 22:28:20   2021-10-18 22:28:24                   148      4.00000      132.000      146.250      25.2500      303.500
2021-10-18 22:28:24   2021-10-18 22:28:28                   152      4.00000      141.500      178.000      22.7500      342.250
2021-10-18 22:28:28   2021-10-18 22:28:32                   156      4.00000      131.250      167.000      27.2500      325.500
2021-10-18 22:28:32   2021-10-18 22:28:36                   160      4.00000      131.000      170.250      21.5000      322.750
2021-10-18 22:28:36   2021-10-18 22:28:40                   164      4.00000      84.0000      73.0000      22.5000      179.500
2021-10-18 22:28:40   2021-10-18 22:28:44                   168      4.00000      63.0000      55.5000      21.2500      139.750
2021-10-18 22:28:44   2021-10-18 22:28:48                   172      4.00000      91.2500      129.500      24.0000      244.750
2021-10-18 22:28:48   2021-10-18 22:28:52                   176      4.00000      106.250      124.500      27.2500      258.000
2021-10-18 22:28:52   2021-10-18 22:28:56                   180      4.00000      92.0000      93.5000      22.2500      207.750
2021-10-18 22:28:56   2021-10-18 22:29:00                   184      4.00000      113.500      150.750      25.2500      289.500
2021-10-18 22:29:00   2021-10-18 22:29:04                   188      4.00000      128.750      171.250      24.0000      324.000
2021-10-18 22:29:04   2021-10-18 22:29:08                   192      4.00000      120.250      178.000      23.7500      322.000
2021-10-18 22:29:08   2021-10-18 22:29:12                   196      4.00000      108.750      149.750      22.2500      280.750
2021-10-18 22:29:12   2021-10-18 22:29:16                   200      4.00000      105.250      140.500      22.5000      268.250
2021-10-18 22:29:16   2021-10-18 22:29:20                   204      4.00000      67.5000      74.5000      18.7500      160.750
2021-10-18 22:29:20   2021-10-18 22:29:24                   208      4.00000      71.2500      99.7500      19.0000      190.000
2021-10-18 22:29:24   2021-10-18 22:29:28                   212      4.00000      95.0000      129.250      29.7500      254.000
2021-10-18 22:29:28   2021-10-18 22:29:32                   216      4.00000      130.500      166.500      29.2500      326.250
2021-10-18 22:29:32   2021-10-18 22:29:36                   220      4.00000      143.000      220.750      26.0000      389.750
2021-10-18 22:29:36   2021-10-18 22:29:40                   224      4.00000      140.000      170.750      22.5000      333.250
2021-10-18 22:29:40   2021-10-18 22:29:44                   228      4.00000      133.500      187.500      24.7500      345.750
2021-10-18 22:29:44   2021-10-18 22:29:48                   232      4.00000      84.5000      96.0000      23.2500      203.750
2021-10-18 22:29:48   2021-10-18 22:29:52                   236      4.00000      69.0000      76.2500      19.2500      164.500
2021-10-18 22:29:52   2021-10-18 22:29:56                   240      4.00000      72.0000      87.2500      23.7500      183.000
2021-10-18 22:29:56   2021-10-18 22:30:00                   244      4.00000      90.5000      96.7500      22.2500      209.500
2021-10-18 22:30:00   2021-10-18 22:30:04                   248      4.00000      90.5000      100.500      18.5000      209.500
2021-10-18 22:30:04   2021-10-18 22:30:08                   252      4.00000      79.5000      64.7500      22.7500      167.000
2021-10-18 22:30:08   2021-10-18 22:30:12                   256      4.00000      58.5000      58.7500      17.7500      135.000
2021-10-18 22:30:12   2021-10-18 22:30:16                   260      4.00000      59.2500      51.2500      19.7500      130.250
2021-10-18 22:30:16   2021-10-18 22:30:20                   264      4.00000      84.0000      91.0000      19.0000      194.000
2021-10-18 22:30:20   2021-10-18 22:30:24                   268      4.00000      71.2500      66.5000      20.2500      158.000
2021-10-18 22:30:24   2021-10-18 22:30:28                   272      4.00000      75.7500      90.5000      21.5000      187.750
2021-10-18 22:30:28   2021-10-18 22:30:32                   276      4.00000      65.0000      61.7500      21.2500      148.000
2021-10-18 22:30:32   2021-10-18 22:30:36                   280      4.00000      61.0000      56.7500      18.7500      136.500
2021-10-18 22:30:36   2021-10-18 22:30:40                   284      4.00000      66.5000      56.5000      20.7500      143.750
2021-10-18 22:30:40   2021-10-18 22:30:44                   288      4.00000      65.2500      54.2500      19.2500      138.750
2021-10-18 22:30:44   2021-10-18 22:30:48                   292      4.00000      58.5000      53.0000      16.5000      128.000
2021-10-18 22:30:48   2021-10-18 22:30:52                   296      4.00000      63.5000      59.7500      16.2500      139.500
2021-10-18 22:30:52   2021-10-18 22:30:56                   300      4.00000      65.5000      53.0000      17.7500      136.250
2021-10-18 22:30:56   2021-10-18 22:31:00                   304      4.00000      54.5000      54.7500      16.5000      125.750
2021-10-18 22:31:00   2021-10-18 22:31:04                   308      4.00000      57.7500      62.0000      16.0000      135.750
2021-10-18 22:31:04   2021-10-18 22:31:08                   312      4.00000      62.7500      53.7500      19.2500      135.750
2021-10-18 22:31:08   2021-10-18 22:31:12                   316      4.00000      64.0000      52.0000      13.2500      129.250
2021-10-18 22:31:12   2021-10-18 22:31:16                   320      4.00000      60.5000      50.5000      20.0000      131.000
2021-10-18 22:31:16   2021-10-18 22:31:20                   324      4.00000      65.0000      48.0000      17.7500      130.750
2021-10-18 22:31:20   2021-10-18 22:31:24                   328      4.00000      56.7500      50.5000      20.2500      127.500
2021-10-18 22:31:24   2021-10-18 22:31:28                   332      4.00000      57.7500      46.5000      19.5000      123.750
2021-10-18 22:31:28   2021-10-18 22:31:32                   336      4.00000      51.7500      55.5000      19.7500      127.000
