                start_time                     end_time   sec_from_start        exposure       rate_3       rate_4       rate_5       rate_6       rate_7       rate_8       rate_9      rate_10      rate_11      rate_12      rate_13      rate_14      rate_15     rate_sum
                       ---                          ---              ---             ---    70-110keV   110-170keV   170-240keV   240-300keV   300-370keV   370-430keV   430-500keV   500-560keV   560-630keV   630-700keV   700-760keV   760-830keV   830-890keV    70-890keV
                     (UTC)                        (UTC)              (s)             (s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)
2022-10-22 22:54:29.767314   2022-10-22 22:54:33.767314        0.0000000       4.0000000      66.7500      42.2500      13.7500      6.75000      11.2500      22.5000      32.0000      23.0000      5.00000     0.500000      0.00000      0.00000      0.00000      223.750
2022-10-22 22:54:33.767317   2022-10-22 22:54:37.767317        4.0000031       4.0000000      68.0000      30.7500      16.5000      7.25000      8.75000      25.5000      36.0000      22.2500      4.75000      2.25000     0.250000      0.00000      0.00000      222.250
2022-10-22 22:54:37.767318   2022-10-22 22:54:41.767318        8.0000041       4.0000000      73.0000      40.7500      12.0000      7.50000      11.2500      26.7500      34.7500      17.2500      6.25000      1.25000      0.00000      0.00000      0.00000      230.750
2022-10-22 22:54:41.767316   2022-10-22 22:54:45.767316        12.000002       4.0000000      65.7500      36.2500      11.7500      7.00000      8.75000      24.0000      29.7500      21.7500      10.0000      1.50000     0.250000      0.00000      0.00000      216.750
2022-10-22 22:54:45.767320   2022-10-22 22:54:49.767320        16.000006       4.0000000      66.2500      36.7500      12.7500      8.75000      12.7500      28.5000      38.7500      21.2500      6.25000      1.50000     0.250000      0.00000      0.00000      233.750
2022-10-22 22:54:49.767324   2022-10-22 22:54:53.767324        20.000010       4.0000000      69.2500      30.2500      14.0000      8.50000      11.2500      24.5000      27.5000      22.0000      7.25000     0.500000      0.00000      0.00000      0.00000      215.000
2022-10-22 22:54:53.767327   2022-10-22 22:54:57.767327        24.000013       4.0000000      70.2500      33.2500      17.2500      11.5000      9.25000      23.5000      34.0000      20.5000      6.25000      1.25000     0.250000      0.00000      0.00000      227.250
2022-10-22 22:54:57.767329   2022-10-22 22:55:01.767329        28.000015       4.0000000      71.2500      41.2500      14.0000      4.75000      11.5000      25.7500      33.5000      20.2500      5.50000     0.750000      0.00000      0.00000      0.00000      228.500
2022-10-22 22:55:01.767333   2022-10-22 22:55:05.767333        32.000019       4.0000000      67.7500      41.7500      13.5000      7.50000      12.5000      21.5000      33.5000      22.0000      7.25000      1.00000      0.00000      0.00000      0.00000      228.250
2022-10-22 22:55:05.767336   2022-10-22 22:55:09.767336        36.000022       4.0000000      63.7500      36.2500      15.2500      8.50000      9.50000      26.2500      33.2500      20.0000      8.00000      1.25000      0.00000      0.00000      0.00000      222.000
2022-10-22 22:55:09.767337   2022-10-22 22:55:13.767337        40.000023       4.0000000      67.0000      40.0000      17.0000      7.50000      11.0000      26.7500      34.7500      21.5000      7.50000      1.50000     0.250000      0.00000      0.00000      234.750
2022-10-22 22:55:13.767309   2022-10-22 22:55:17.767309        43.999995       4.0000000      65.5000      36.0000      17.0000      10.0000      10.0000      19.0000      34.0000      17.5000      7.00000     0.250000      0.00000      0.00000      0.00000      216.250
2022-10-22 22:55:17.767313   2022-10-22 22:55:21.767313        47.999999       4.0000000      67.0000      31.7500      14.0000      7.25000      10.5000      23.0000      29.7500      20.2500      5.50000      1.25000      0.00000      0.00000      0.00000      210.250
2022-10-22 22:55:21.767315   2022-10-22 22:55:25.767315        52.000001       4.0000000      66.0000      37.5000      16.0000      4.50000      12.5000      25.0000      31.5000      19.0000      9.00000      1.00000     0.250000      0.00000      0.00000      222.250
2022-10-22 22:55:25.767318   2022-10-22 22:55:29.767318        56.000004       4.0000000      76.7500      34.2500      13.2500      5.50000      12.5000      23.7500      31.0000      22.0000      3.75000      1.50000      0.00000      0.00000      0.00000      224.250
2022-10-22 22:55:29.767322   2022-10-22 22:55:33.767322        60.000008       4.0000000      75.0000      41.2500      13.2500      8.50000      10.2500      24.5000      31.5000      21.2500      5.00000      1.50000     0.500000      0.00000      0.00000      232.500
2022-10-22 22:55:33.767323   2022-10-22 22:55:37.767323        64.000009       4.0000000      73.7500      33.5000      16.0000      9.25000      9.00000      26.7500      32.5000      21.2500      5.50000     0.750000      0.00000      0.00000      0.00000      228.250
2022-10-22 22:55:37.767330   2022-10-22 22:55:41.767330        68.000016       4.0000000      63.5000      32.0000      12.5000      7.75000      12.7500      28.2500      28.0000      21.5000      5.00000      1.75000      0.00000      0.00000      0.00000      213.000
2022-10-22 22:55:41.767337   2022-10-22 22:55:45.767337        72.000023       4.0000000      68.0000      30.5000      13.2500      7.25000      12.5000      28.2500      34.7500      22.7500      5.50000      1.25000      0.00000      0.00000      0.00000      224.000
2022-10-22 22:55:45.767313   2022-10-22 22:55:49.767313        75.999999       4.0000000      69.5000      37.0000      11.5000      12.2500      10.5000      24.5000      33.7500      22.2500      6.00000      0.00000     0.250000      0.00000      0.00000      227.500
2022-10-22 22:55:49.767322   2022-10-22 22:55:53.767322        80.000008       4.0000000      67.2500      38.0000      16.0000      8.75000      10.5000      25.2500      32.2500      19.5000      8.25000      1.75000      0.00000      0.00000      0.00000      227.500
2022-10-22 22:55:53.767330   2022-10-22 22:55:57.767330        84.000016       4.0000000      81.5000      39.2500      22.2500      9.50000      13.0000      26.7500      33.5000      20.0000      5.25000     0.750000      0.00000      0.00000      0.00000      251.750
2022-10-22 22:55:57.767336   2022-10-22 22:56:01.767336        88.000022       4.0000000      86.0000      50.7500      22.2500      13.0000      10.2500      26.5000      35.7500      22.2500      9.25000      1.00000     0.250000      0.00000      0.00000      277.250
2022-10-22 22:56:01.767313   2022-10-22 22:56:05.767313        91.999999       4.0000000      97.2500      64.7500      27.5000      12.7500      12.5000      29.5000      30.5000      16.5000      5.50000      1.50000      0.00000      0.00000      0.00000      298.250
2022-10-22 22:56:05.767324   2022-10-22 22:56:09.767324        96.000010       4.0000000      98.7500      80.5000      34.0000      17.2500      16.2500      24.2500      34.2500      24.2500      7.25000      1.25000      0.00000      0.00000      0.00000      338.000
2022-10-22 22:56:09.767323   2022-10-22 22:56:13.767323        100.00001       4.0000000      120.750      101.250      43.7500      21.5000      15.0000      20.2500      36.7500      26.5000      5.75000      1.75000     0.500000     0.250000      0.00000      394.000
2022-10-22 22:56:13.767330   2022-10-22 22:56:17.767330        104.00002       4.0000000      96.2500      61.2500      25.5000      12.2500      10.7500      29.2500      39.0000      18.7500      6.00000     0.250000      0.00000      0.00000      0.00000      299.250
2022-10-22 22:56:17.767312   2022-10-22 22:56:21.767312        108.00000       4.0000000      78.7500      45.0000      17.5000      10.0000      8.75000      24.7500      33.5000      17.2500      3.00000     0.750000      0.00000      0.00000      0.00000      239.250
2022-10-22 22:56:21.767319   2022-10-22 22:56:25.767319        112.00001       4.0000000      75.2500      37.0000      15.0000      8.00000      11.0000      28.2500      32.7500      22.0000      4.50000     0.500000      0.00000      0.00000      0.00000      234.250
2022-10-22 22:56:25.767325   2022-10-22 22:56:29.767325        116.00001       4.0000000      78.0000      44.2500      15.2500      10.0000      13.5000      23.2500      37.2500      18.5000      6.00000     0.250000      0.00000      0.00000      0.00000      246.250
2022-10-22 22:56:29.767331   2022-10-22 22:56:33.767331        120.00002       4.0000000      70.2500      34.5000      12.0000      11.5000      11.2500      23.7500      31.2500      18.0000      6.00000      1.00000     0.750000      0.00000      0.00000      220.250
2022-10-22 22:56:33.767337   2022-10-22 22:56:37.767337        124.00002       4.0000000      73.2500      38.2500      13.7500      7.00000      10.2500      26.7500      33.2500      24.7500      5.50000      1.75000      0.00000      0.00000      0.00000      234.500
2022-10-22 22:56:37.767315   2022-10-22 22:56:41.767315        128.00000       4.0000000      68.5000      40.0000      13.2500      6.50000      10.5000      24.7500      33.5000      21.5000      6.00000     0.500000      0.00000      0.00000      0.00000      225.000
2022-10-22 22:56:41.767321   2022-10-22 22:56:45.767321        132.00001       4.0000000      71.7500      32.7500      16.7500      9.75000      9.75000      21.7500      35.5000      18.2500      4.50000      0.00000      0.00000      0.00000      0.00000      220.750
2022-10-22 22:56:45.767327   2022-10-22 22:56:49.767327        136.00001       4.0000000      67.2500      36.0000      13.2500      6.25000      10.2500      23.0000      32.2500      18.2500      7.00000     0.750000      0.00000      0.00000      0.00000      214.250
2022-10-22 22:56:49.767309   2022-10-22 22:56:53.767309        139.99999       4.0000000      62.7500      33.5000      14.5000      10.0000      11.7500      27.5000      33.5000      22.0000      6.50000      1.25000     0.250000      0.00000      0.00000      223.500
2022-10-22 22:56:53.767315   2022-10-22 22:56:57.767315        144.00000       4.0000000      64.7500      40.7500      12.7500      8.75000      8.75000      29.0000      33.7500      23.5000      9.50000     0.500000      0.00000      0.00000      0.00000      232.000
2022-10-22 22:56:57.767323   2022-10-22 22:57:01.767323        148.00001       4.0000000      67.2500      35.0000      11.5000      7.25000      9.25000      29.5000      34.0000      18.7500      6.75000      1.00000      0.00000      0.00000      0.00000      220.250
2022-10-22 22:57:01.767329   2022-10-22 22:57:05.767329        152.00002       4.0000000      74.0000      40.0000      12.0000      8.50000      9.50000      25.2500      36.5000      23.2500      8.25000     0.500000      0.00000      0.00000      0.00000      237.750
2022-10-22 22:57:05.767335   2022-10-22 22:57:09.767335        156.00002       4.0000000      66.5000      41.7500      15.0000      10.5000      7.00000      27.2500      32.5000      21.2500      7.50000      1.50000     0.250000      0.00000      0.00000      231.000
2022-10-22 22:57:09.767312   2022-10-22 22:57:13.767312        160.00000       4.0000000      66.0000      37.2500      14.7500      8.50000      12.7500      22.2500      38.0000      24.5000      6.25000      1.25000      0.00000      0.00000      0.00000      231.500
2022-10-22 22:57:13.767319   2022-10-22 22:57:17.767319        164.00001       4.0000000      64.5000      34.2500      13.2500      7.75000      11.2500      25.7500      35.0000      23.0000      9.50000      2.00000      0.00000      0.00000      0.00000      226.250
2022-10-22 22:57:17.767326   2022-10-22 22:57:21.767326        168.00001       4.0000000      57.7500      34.0000      18.7500      9.00000      11.5000      24.0000      32.0000      21.7500      6.00000      1.00000     0.250000      0.00000      0.00000      216.000
2022-10-22 22:57:21.767332   2022-10-22 22:57:25.767332        172.00002       4.0000000      58.7500      33.0000      14.2500      10.0000      7.50000      24.5000      31.2500      19.7500      4.50000     0.750000      0.00000      0.00000      0.00000      204.250
2022-10-22 22:57:25.767312   2022-10-22 22:57:29.767312        176.00000       4.0000000      71.5000      31.7500      15.5000      9.50000      10.7500      23.7500      37.0000      21.5000      8.50000     0.750000      0.00000      0.00000      0.00000      230.500
2022-10-22 22:57:29.767318   2022-10-22 22:57:33.767318        180.00000       4.0000000      62.5000      38.0000      14.0000      7.25000      9.50000      24.0000      29.2500      16.5000      7.75000     0.500000     0.250000      0.00000      0.00000      209.500
2022-10-22 22:57:33.767324   2022-10-22 22:57:37.767324        184.00001       4.0000000      77.0000      38.5000      12.0000      11.7500      9.50000      27.2500      33.2500      22.0000      4.50000     0.750000      0.00000      0.00000      0.00000      236.500
2022-10-22 22:57:37.767324   2022-10-22 22:57:41.767324        188.00001       4.0000000      60.2500      32.2500      15.7500      9.25000      11.5000      23.0000      34.5000      26.5000      6.00000     0.500000      0.00000      0.00000      0.00000      219.500
2022-10-22 22:57:41.767330   2022-10-22 22:57:45.767330        192.00002       4.0000000      67.2500      31.7500      12.7500      10.2500      11.2500      24.0000      30.2500      21.2500      8.25000     0.750000      0.00000      0.00000      0.00000      217.750
2022-10-22 22:57:45.767336   2022-10-22 22:57:49.767336        196.00002       4.0000000      69.2500      40.2500      14.2500      8.25000      11.5000      24.7500      31.2500      23.7500      5.75000     0.750000      0.00000      0.00000      0.00000      229.750
2022-10-22 22:57:49.767312   2022-10-22 22:57:53.767312        200.00000       4.0000000      64.5000      36.2500      18.2500      9.25000      8.00000      26.5000      30.7500      17.7500      5.00000      1.50000      0.00000      0.00000      0.00000      217.750
2022-10-22 22:57:53.767318   2022-10-22 22:57:57.767318        204.00000       4.0000000      65.7500      34.5000      13.5000      7.75000      9.50000      24.7500      38.2500      15.0000      9.00000      1.00000     0.250000      0.00000      0.00000      219.250
2022-10-22 22:57:57.767325   2022-10-22 22:58:01.767325        208.00001       4.0000000      71.0000      33.0000      14.7500      8.75000      12.0000      30.5000      30.0000      19.5000      7.50000      2.00000      0.00000      0.00000      0.00000      229.000
2022-10-22 22:58:01.767332   2022-10-22 22:58:05.767332        212.00002       4.0000000      70.5000      36.0000      18.2500      9.25000      10.2500      21.5000      31.5000      20.7500      6.25000      1.25000      0.00000      0.00000      0.00000      225.500
2022-10-22 22:58:05.767327   2022-10-22 22:58:09.767327        216.00001       4.0000000      62.5000      38.2500      13.0000      7.50000      9.25000      22.2500      32.5000      23.0000      6.75000     0.250000     0.250000     0.250000      0.00000      215.750
2022-10-22 22:58:09.767333   2022-10-22 22:58:13.767333        220.00002       4.0000000      70.0000      35.2500      14.7500      10.2500      11.2500      24.0000      34.0000      18.0000      4.75000      1.00000      0.00000      0.00000      0.00000      223.250
2022-10-22 22:58:13.767313   2022-10-22 22:58:17.767313        224.00000       4.0000000      67.5000      38.2500      17.0000      5.50000      10.0000      21.7500      30.5000      18.7500      6.25000      1.00000      0.00000      0.00000      0.00000      216.500
2022-10-22 22:58:17.767319   2022-10-22 22:58:21.767319        228.00001       4.0000000      63.0000      38.0000      14.5000      10.2500      11.5000      27.0000      32.7500      14.2500      5.00000      1.00000      0.00000      0.00000      0.00000      217.250
2022-10-22 22:58:21.767327   2022-10-22 22:58:25.767327        232.00001       4.0000000      67.0000      39.5000      11.0000      10.2500      9.75000      23.2500      34.0000      21.5000      5.00000     0.750000     0.250000      0.00000      0.00000      222.250
2022-10-22 22:58:25.767332   2022-10-22 22:58:29.767332        236.00002       4.0000000      61.7500      39.5000      13.2500      7.75000      12.0000      26.7500      37.5000      21.7500      6.50000     0.250000      0.00000      0.00000      0.00000      227.000
2022-10-22 22:58:29.767311   2022-10-22 22:58:33.767311        240.00000       4.0000000      67.0000      34.7500      13.5000      10.5000      11.2500      23.0000      36.7500      22.0000      6.25000      1.25000     0.500000      0.00000      0.00000      226.750
2022-10-22 22:58:33.767318   2022-10-22 22:58:37.767318        244.00000       4.0000000      65.7500      31.2500      15.0000      7.75000      9.75000      23.7500      38.2500      21.5000      5.50000      1.50000      0.00000      0.00000      0.00000      220.000
2022-10-22 22:58:37.767326   2022-10-22 22:58:41.767326        248.00001       4.0000000      68.2500      37.5000      15.2500      8.00000      11.5000      21.7500      33.7500      20.7500      4.50000     0.500000      0.00000      0.00000      0.00000      221.750
2022-10-22 22:58:41.767335   2022-10-22 22:58:45.767335        252.00002       4.0000000      62.7500      44.2500      15.2500      8.00000      11.2500      22.5000      36.2500      21.7500      8.00000     0.750000     0.250000      0.00000      0.00000      231.000
2022-10-22 22:58:45.767311   2022-10-22 22:58:49.767311        256.00000       4.0000000      66.2500      38.2500      17.0000      8.25000      11.0000      22.0000      34.5000      21.7500      4.00000     0.500000      0.00000      0.00000      0.00000      223.500
2022-10-22 22:58:49.767319   2022-10-22 22:58:53.767319        260.00001       4.0000000      72.0000      34.0000      14.5000      7.75000      9.50000      26.5000      37.5000      20.0000      6.25000     0.750000      0.00000      0.00000      0.00000      228.750
2022-10-22 22:58:53.767326   2022-10-22 22:58:57.767326        264.00001       4.0000000      69.5000      33.0000      17.2500      8.50000      9.50000      20.5000      33.7500      19.5000      8.25000      1.00000      0.00000      0.00000      0.00000      220.750
2022-10-22 22:58:57.767332   2022-10-22 22:59:01.767332        268.00002       4.0000000      60.5000      40.5000      12.0000      11.0000      11.7500      26.0000      29.7500      21.2500      5.75000     0.750000      0.00000      0.00000      0.00000      219.250
2022-10-22 22:59:01.767309   2022-10-22 22:59:05.767309        271.99999       4.0000000      65.2500      42.2500      14.0000      6.75000      10.5000      26.5000      32.2500      23.2500      5.00000     0.750000     0.250000      0.00000      0.00000      226.750
2022-10-22 22:59:05.767338   2022-10-22 22:59:09.767338        276.00002       4.0000000      65.5000      35.7500      15.5000      7.25000      8.50000      24.5000      35.2500      23.0000      7.25000     0.750000      0.00000      0.00000      0.00000      223.250
2022-10-22 22:59:09.767316   2022-10-22 22:59:13.767316        280.00000       4.0000000      60.5000      36.5000      16.5000      13.0000      12.0000      25.2500      29.5000      22.0000      7.25000     0.750000      0.00000      0.00000      0.00000      223.250
2022-10-22 22:59:13.767328   2022-10-22 22:59:17.767328        284.00001       4.0000000      63.5000      33.2500      13.5000      6.75000      8.50000      26.2500      37.2500      17.0000      4.50000      1.00000      0.00000      0.00000      0.00000      211.500
2022-10-22 22:59:17.767338   2022-10-22 22:59:21.767338        288.00002       4.0000000      56.5000      39.2500      14.5000      9.25000      14.5000      28.7500      32.7500      22.0000      10.5000     0.750000      0.00000      0.00000      0.00000      228.750
2022-10-22 22:59:21.767314   2022-10-22 22:59:25.767314        292.00000       4.0000000      64.5000      38.7500      9.75000      9.25000      8.50000      24.2500      34.5000      23.2500      5.75000      1.25000      0.00000      0.00000      0.00000      219.750
2022-10-22 22:59:25.767321   2022-10-22 22:59:29.767321        296.00001       4.0000000      68.7500      41.2500      16.5000      6.00000      10.2500      21.7500      29.2500      17.7500      6.00000     0.750000      0.00000      0.00000      0.00000      218.250
2022-10-22 22:59:29.767329   2022-10-22 22:59:33.767329        300.00002       4.0000000      69.2500      37.0000      12.7500      9.75000      10.0000      25.7500      33.5000      23.5000      4.50000     0.750000      0.00000      0.00000      0.00000      226.750

